step,time,msd
431,431.0,434.748
432,432.0,435.776
433,433.0,435.064
434,434.0,437.636
435,435.0,437.76
436,436.0,437.954
437,437.0,438.152
438,438.0,439.572
439,439.0,441.132
440,440.0,441.46
441,441.0,442.488
442,442.0,445.278
443,443.0,445.268
444,444.0,444.548
445,445.0,445.624
446,446.0,446.582
447,447.0,448.872
448,448.0,451.056
449,449.0,451.6
450,450.0,452.084
451,451.0,453.58
452,452.0,453.758
453,453.0,455.408
454,454.0,455.806
455,455.0,456.504
456,456.0,457.43
457,457.0,458.464
458,458.0,459.01
459,459.0,459.552
460,460.0,461.008
461,461.0,462.044
462,462.0,462.094
463,463.0,463.12
464,464.0,465.372
465,465.0,466.76
466,466.0,468.468
467,467.0,470.208
468,468.0,472.54
469,469.0,473.16
470,470.0,474.518
471,471.0,477.12
472,472.0,480.934
473,473.0,482.412
474,474.0,482.978
475,475.0,484.104
476,476.0,485.72
477,477.0,487.016
478,478.0,486.48
479,479.0,487.788
480,480.0,487.808
481,481.0,489.36
482,482.0,490.878
483,483.0,491.432
484,484.0,491.144
485,485.0,491.688
486,486.0,491.898
487,487.0,493.204
488,488.0,492.83
489,489.0,494.736
490,490.0,495.406
491,491.0,495.284
492,492.0,496.95
493,493.0,497.996
494,494.0,500.396
495,495.0,501.26
496,496.0,501.36
497,497.0,502.976
498,498.0,504.426
499,499.0,505.856
500,500.0,506.926
